Alimento,Calorías por 100g,Descripción
Pechuga de pollo,165,"Rica en proteínas y baja en grasa, ideal para construir músculo."
Claras de huevo,52,Fuente de proteínas de alta calidad y prácticamente sin grasas.
Avena,389,"Alta en carbohidratos complejos y fibra, proporciona energía sostenida."
Espinacas,23,"Muy bajas en calorías, altas en vitaminas y minerales esenciales."
Quinoa,120,"Rica en proteínas, fibra y carbohidratos complejos, con todos los aminoácidos esenciales."
Salmón (fresco),206,"Fuente de ácidos grasos omega-3, proteínas y grasas saludables."
Almendras,576,"Altas en grasas saludables, proteínas y fibra, pero densas en calorías."
Batata (camote),86,"Fuente de carbohidratos complejos, con vitaminas como la A y antioxidantes."
Yogur griego (natural),59,Alta cantidad de proteínas y bajo en grasas si es versión descremada.
Brócoli,35,"Muy bajo en calorías, lleno de fibra, vitaminas C y K, y antioxidantes."
